Kjønn,Alder,Antall,Årsverk,År,Utdanning
1,34,208.4043195842806,194.37005,2021,ba
1,35,202.14475154270866,177.23916,2021,ba
1,36,196.44259175056837,176.85916,2021,ba
1,37,185.4043195842806,171.42306,2021,ba
1,38,181.18302370899642,165.70071000000002,2021,ba
1,39,144.7021597921403,131.69673,2021,ba
1,40,152.18302370899642,133.58100000000002,2021,ba
1,41,129.9234556674245,115.05808,2021,ba
1,42,106.44259175056837,92.69376,2021,ba
1,43,88.22129587528418,78.52464,2021,ba
1,44,98.7021597921403,88.73501,2021,ba
1,45,124.0,116.25586,2021,ba
1,46,120.0,111.81936,2021,ba
1,47,126.22129587528418,115.18416,2021,ba
1,48,143.22129587528417,126.33509,2021,ba
1,49,141.74043195842805,133.5717,2021,ba
1,50,154.0,139.9255,2021,ba
1,51,153.74043195842805,137.31575,2021,ba
1,52,160.74043195842805,143.7006,2021,ba
1,53,124.0,113.51954,2021,ba
1,54,121.0,102.97012,2021,ba
1,55,91.0,76.24206,2021,ba
1,56,71.0,57.95496,2021,ba
1,57,48.0,36.9056,2021,ba
1,58,49.0,46.610369999999996,2021,ba
1,59,41.0,34.66937,2021,ba
1,60,60.0,47.5398,2021,ba
1,61,47.0,40.34016,2021,ba
1,62,52.0,40.81616,2021,ba
1,63,43.0,30.0864,2021,ba
1,64,67.0,39.972089999999994,2021,ba
1,65,51.0,23.691689999999998,2021,ba
1,66,67.0,25.0647,2021,ba
1,67,89.0,27.05804,2021,ba
1,68,81.0,21.00224,2021,ba
